Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,is_exited,,,,,,,,,,,
Alexander Choi,Manager,Marketing,Research & Development,Male,Asian,55,18-09-1994,"$1,02,270",10%,United States,Chicago,,NO,,,,,,,,,,,
Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,31-07-2005,"$2,49,686",31%,China,Chongqing,,NO,,,,,,,,,,,
Sophie Ali,Analyst,Finance,Manufacturing,Female,Asian,55,28-03-2002,"$50,475.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Julian Ross,Manager,Marketing,Research & Development,Male,Caucasian,51,07-02-2020,"$1,00,099",8%,United States,Miami,,NO,,,,,,,,,,,
Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,27-12-2016,"$41,673.00",0%,United States,Miami,,NO,,,,,,,,,,,
Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,07-12-2017,"$70,996.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Jack Brown,Analyst,Marketing,Corporate,Male,Caucasian,55,12-07-2004,"$40,752.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,23-01-2001,"$97,537.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,09-12-2020,"$96,567.00",0%,China,Shanghai,,NO,,,,,,,,,,,
Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,03-10-1999,"$49,404.00",0%,China,Beijing,,NO,,,,,,,,,,,
Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,15-10-2019,"$66,819.00",0%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,05-02-2016,"$50,784.00",0%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,05-09-2019,"$1,25,828",15%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,33,08-04-2017,"$92,610.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,25-03-2003,"$1,23,405",13%,United States,Columbus,,NO,,,,,,,,,,,
Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,46,20-03-2004,"$73,004.00",0%,China,Beijing,,NO,,,,,,,,,,,
Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,25-04-1999,"$95,061.00",10%,China,Shanghai,,NO,,,,,,,,,,,
Aubrey Romero,Director,Sales,Corporate,Female,Latino,49,04-02-1998,"$1,60,832",30%,United States,Phoenix,,NO,,,,,,,,,,,
Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,54,28-12-2010,"$64,417.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Elias Ali,Manager,Sales,Corporate,Male,Asian,28,19-03-2021,"$1,27,543",6%,China,Shanghai,,NO,,,,,,,,,,,
Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,30,21-06-2018,"$56,154.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,22-02-2014,"$2,18,530",30%,China,Shanghai,,NO,,,,,,,,,,,
Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,19-12-2019,"$91,954.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,21-09-2016,"$2,21,217",32%,United States,Columbus,25-09-2017, YES,,,,,,,,,,,
Jonathan Chavez,System Administrator,IT,Manufacturing,Male,Latino,29,05-11-2017,"$87,536.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,47,06-09-2015,"$41,429.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,10-10-2011,"$2,45,482",39%,United States,Seattle,,NO,,,,,,,,,,,
Ella White,Development Engineer,Engineering,Manufacturing,Female,Caucasian,25,20-01-2020,"$71,359.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Jordan Truong,Director,Engineering,Speciality Products,Male,Asian,45,28-08-2014,"$1,83,161",22%,United States,Miami,,NO,,,,,,,,,,,
Daniel Jordan,Network Administrator,IT,Corporate,Male,Caucasian,58,26-07-1993,"$69,260.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Daniel Dixon,Operations Engineer,Engineering,Speciality Products,Male,Caucasian,51,10-09-1999,"$95,639.00",0%,United States,Austin,,NO,,,,,,,,,,,
Luca Duong,Manager,Human Resources,Research & Development,Male,Asian,48,30-06-2004,"$1,20,660",7%,China,Chengdu,,NO,,,,,,,,,,,
Levi Brown,Sr. Analyst,Sales,Corporate,Male,Black,36,26-12-2021,"$75,119.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Mason Cho,Vice President,Accounting,Research & Development,Male,Asian,59,18-05-2011,"$1,92,213",40%,United States,Chicago,,NO,,,,,,,,,,,
Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,45,05-10-2014,"$65,047.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Elijah Watson,Sr. Manger,Sales,Manufacturing,Male,Caucasian,29,16-03-2017,"$1,51,413",15%,United States,Seattle,,NO,,,,,,,,,,,
Wesley Gray,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,62,22-04-2003,"$76,906.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Wesley Sharma,Manager,IT,Corporate,Male,Asian,51,23-02-1994,"$1,22,802",5%,China,Shanghai,,NO,,,,,,,,,,,
Mateo Mendez,Development Engineer,Engineering,Research & Development,Male,Latino,47,14-07-1998,"$99,091.00",0%,United States,Austin,,NO,,,,,,,,,,,
Jose Molina,Controls Engineer,Engineering,Manufacturing,Male,Latino,40,28-02-2008,"$1,13,987",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Luna Simmons,Sr. Analyst,Finance,Corporate,Female,Caucasian,28,09-04-2020,"$95,045.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Samantha Barnes,Vice President,Marketing,Speciality Products,Female,Caucasian,29,01-05-2017,"$1,90,401",37%,United States,Columbus,,NO,,,,,,,,,,,
Hunter Ortiz,Sr. Analyst,Finance,Corporate,Male,Latino,46,20-01-2013,"$86,061.00",0%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Thomas Aguilar,Sr. Account Representative,Sales,Speciality Products,Male,Latino,45,02-10-2021,"$79,882.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Skylar Bell,Vice President,Engineering,Manufacturing,Female,Caucasian,30,03-06-2018,"$2,55,431",36%,United States,Columbus,,NO,,,,,,,,,,,
Anna Zhu,Service Desk Analyst,IT,Manufacturing,Female,Asian,48,22-08-2003,"$82,017.00",0%,China,Beijing,,NO,,,,,,,,,,,
Ella Hunter,Analyst,Finance,Manufacturing,Female,Caucasian,51,18-01-2017,"$53,799.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Emery Hunter,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,07-03-2021,"$82,739.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Sofia Parker,Cloud Infrastructure Architect,IT,Manufacturing,Female,Caucasian,36,30-05-2014,"$99,080.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Lucy Fong,Sr. Account Representative,Sales,Corporate,Female,Asian,40,20-01-2011,"$96,719.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Vivian Barnes,Director,Human Resources,Research & Development,Female,Caucasian,51,28-03-2021,"$1,80,687",19%,United States,Phoenix,,NO,,,,,,,,,,,
Kai Chow,Engineering Manager,Engineering,Corporate,Male,Asian,45,04-12-2001,"$95,743.00",15%,United States,Austin,15-01-2010, YES,,,,,,,,,,,
Melody Cooper,Development Engineer,Engineering,Research & Development,Female,Caucasian,44,09-04-2009,"$89,695.00",0%,United States,Austin,,NO,,,,,,,,,,,
James Bui,Manager,Finance,Manufacturing,Male,Asian,64,20-07-1998,"$1,22,753",9%,China,Chongqing,,NO,,,,,,,,,,,
Liam Grant,Sr. Business Partner,Human Resources,Research & Development,Male,Caucasian,30,15-03-2015,"$93,734.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Owen Han,Analyst,Accounting,Corporate,Male,Asian,28,05-12-2017,"$52,069.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Kinsley Vega,Vice President,Accounting,Corporate,Female,Latino,33,16-12-2020,"$2,58,426",40%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Leonardo Martin,Manager,Finance,Speciality Products,Male,Black,51,16-02-1995,"$1,25,375",9%,United States,Chicago,,NO,,,,,,,,,,,
Greyson Lam,Vice President,Accounting,Manufacturing,Male,Asian,25,02-08-2021,"$1,98,243",31%,United States,Miami,,NO,,,,,,,,,,,
Emilia Rivera,Test Engineer,Engineering,Research & Development,Female,Latino,42,23-11-2017,"$96,023.00",0%,United States,Miami,,NO,,,,,,,,,,,
Penelope Johnson,Sr. Analyst,Marketing,Research & Development,Female,Caucasian,34,25-06-2012,"$83,066.00",0%,United States,Chicago,06-05-2013, YES,,,,,,,,,,,
Eva Figueroa,Analyst II,Sales,Research & Development,Female,Latino,48,14-05-2014,"$61,216.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Ezekiel Jordan,Sr. Manger,Accounting,Corporate,Male,Caucasian,33,02-10-2013,"$1,44,231",14%,United States,Columbus,17-07-2020, YES,,,,,,,,,,,
Luke Mai,HRIS Analyst,Human Resources,Research & Development,Male,Asian,41,24-10-2007,"$51,630.00",0%,China,Beijing,,NO,,,,,,,,,,,
Charles Diaz,Sr. Manger,Sales,Corporate,Male,Latino,55,16-11-2013,"$1,24,129",15%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Adam Espinoza,Test Engineer,Engineering,Manufacturing,Male,Latino,36,04-09-2009,"$60,055.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,26-08-2020,"$1,89,290",22%,Brazil,Sao Paulo,25-09-2020, YES,,,,,,,,,,,
Cora Jiang,Vice President,IT,Corporate,Female,Asian,53,30-04-2008,"$1,82,202",30%,United States,Austin,,NO,,,,,,,,,,,
Cooper Mitchell,Manager,Sales,Speciality Products,Male,Caucasian,43,31-01-2006,"$1,17,518",7%,United States,Seattle,,NO,,,,,,,,,,,
Layla Torres,Sr. Manger,Finance,Manufacturing,Female,Latino,37,24-02-2013,"$1,57,474",11%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Jack Edwards,Manager,Marketing,Manufacturing,Male,Caucasian,38,04-06-2008,"$1,26,856",6%,United States,Columbus,,NO,,,,,,,,,,,
Eleanor Chan,Sr. Manger,Accounting,Manufacturing,Female,Asian,49,04-02-2001,"$1,29,124",12%,China,Shanghai,,NO,,,,,,,,,,,
Aria Xi,Director,Sales,Research & Development,Female,Asian,45,03-01-2002,"$1,65,181",16%,United States,Seattle,,NO,,,,,,,,,,,
John Vega,Vice President,Finance,Corporate,Male,Latino,50,18-01-2004,"$2,47,939",35%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,25-08-2017,"$1,69,509",18%,Brazil,Manaus,,NO,,,,,,,,,,,
Sarah Daniels,Sr. Manger,Accounting,Manufacturing,Female,Caucasian,55,01-09-2011,"$1,38,521",10%,United States,Miami,,NO,,,,,,,,,,,
Aria Castro,Engineering Manager,Engineering,Speciality Products,Female,Latino,45,14-03-2014,"$1,13,873",11%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Autumn Joseph,Enterprise Architect,IT,Corporate,Female,Black,39,05-09-2018,"$73,317.00",0%,United States,Miami,,NO,,,,,,,,,,,
Evelyn Liang,Service Desk Analyst,IT,Speciality Products,Female,Asian,40,26-06-2013,"$69,096.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Henry Alvarez,Sr. Business Partner,Human Resources,Manufacturing,Male,Latino,48,04-12-2005,"$87,158.00",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,28-09-1992,"$70,778.00",0%,United States,Austin,,NO,,,,,,,,,,,
Zoe Rodriguez,Director,Human Resources,Speciality Products,Female,Latino,65,23-05-2004,"$1,53,938",20%,United States,Phoenix,,NO,,,,,,,,,,,
Axel Chu,Systems Analyst,IT,Research & Development,Male,Asian,43,05-04-2018,"$59,888.00",0%,China,Beijing,,NO,,,,,,,,,,,
Cameron Evans,Test Engineer,Engineering,Corporate,Male,Caucasian,50,13-12-2018,"$63,098.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Isabella Soto,Vice President,Finance,Corporate,Female,Latino,27,15-12-2021,"$2,55,369",33%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Eva Jenkins,Sr. Manger,Human Resources,Manufacturing,Female,Black,55,11-10-2004,"$1,42,318",14%,United States,Chicago,,NO,,,,,,,,,,,
Cameron Powell,Business Partner,Human Resources,Manufacturing,Male,Black,41,20-08-2004,"$49,186.00",0%,United States,Austin,17-06-2008, YES,,,,,,,,,,,
Samantha Foster,Vice President,Human Resources,Research & Development,Female,Black,34,27-07-2019,"$2,20,937",38%,United States,Austin,,NO,,,,,,,,,,,
Jade Li,Director,IT,Speciality Products,Female,Asian,47,26-10-2012,"$1,83,156",30%,United States,Seattle,,NO,,,,,,,,,,,
Kinsley Acosta,Vice President,IT,Speciality Products,Female,Latino,32,22-07-2020,"$1,92,749",31%,United States,Chicago,,NO,,,,,,,,,,,
Clara Kang,Sr. Manger,IT,Manufacturing,Female,Asian,39,25-03-2017,"$1,35,325",14%,United States,Phoenix,,NO,,,,,,,,,,,
Harper Alexander,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,26,14-10-2019,"$79,356.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Carter Reed,Development Engineer,Engineering,Manufacturing,Male,Black,40,07-07-2005,"$74,412.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Charlotte Ruiz,Computer Systems Manager,IT,Manufacturing,Female,Latino,32,10-02-2017,"$61,886.00",9%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Everleigh Jiang,Director,Accounting,Research & Development,Female,Asian,58,14-05-2003,"$1,73,071",29%,United States,Columbus,,NO,,,,,,,,,,,
Audrey Smith,Field Engineer,Engineering,Research & Development,Female,Caucasian,58,27-10-1995,"$70,189.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Emery Acosta,Vice President,Sales,Research & Development,Female,Latino,42,09-11-2013,"$1,81,452",30%,United States,Columbus,,NO,,,,,,,,,,,
Charles Robinson,HRIS Analyst,Human Resources,Speciality Products,Male,Caucasian,26,03-12-2021,"$70,369.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Landon Lopez,Sr. Analyst,Accounting,Manufacturing,Male,Latino,38,07-05-2008,"$78,056.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Miles Mehta,Director,Finance,Research & Development,Male,Asian,64,05-02-1996,"$1,89,933",23%,United States,Miami,,NO,,,,,,,,,,,
Ezra Simmons,Automation Engineer,Engineering,Speciality Products,Male,Caucasian,38,07-01-2010,"$78,237.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Nora Santiago,Analyst,Accounting,Research & Development,Female,Latino,55,26-06-1996,"$48,687.00",0%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Caroline Herrera,Sr. Manger,Marketing,Manufacturing,Female,Latino,45,19-08-2004,"$1,21,065",15%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
David Owens,Sr. Analyst,Sales,Corporate,Male,Black,43,16-04-2004,"$94,246.00",0%,United States,Austin,,NO,,,,,,,,,,,
Avery Yee,Systems Analyst,IT,Manufacturing,Female,Asian,34,22-05-2016,"$44,614.00",0%,United States,Miami,,NO,,,,,,,,,,,
Xavier Park,Vice President,IT,Research & Development,Male,Asian,40,11-08-2020,"$2,34,469",31%,China,Chengdu,,NO,,,,,,,,,,,
Asher Morales,Automation Engineer,Engineering,Research & Development,Male,Latino,52,07-10-2020,"$88,272.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Mason Cao,Analyst II,Finance,Corporate,Male,Asian,52,14-09-2017,"$74,449.00",0%,China,Beijing,,NO,,,,,,,,,,,
Joshua Fong,Vice President,Engineering,Speciality Products,Male,Asian,47,06-11-2012,"$2,22,941",39%,China,Beijing,,NO,,,,,,,,,,,
Maria Chin,Analyst,Marketing,Manufacturing,Female,Asian,65,26-09-2013,"$50,341.00",0%,China,Beijing,,NO,,,,,,,,,,,
Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,04-11-2021,"$72,235.00",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Anna Molina,Sr. Analyst,Accounting,Corporate,Female,Latino,41,06-12-2016,"$70,165.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Logan Bryant,Sr. Manger,Marketing,Speciality Products,Male,Caucasian,30,18-07-2020,"$1,48,485",15%,United States,Miami,,NO,,,,,,,,,,,
Isla Han,Technical Architect,IT,Manufacturing,Female,Asian,58,18-06-2005,"$86,089.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Christopher Vega,Engineering Manager,Engineering,Research & Development,Male,Latino,54,27-10-2007,"$1,06,313",15%,United States,Chicago,,NO,,,,,,,,,,,
Lillian Park,Analyst,Marketing,Research & Development,Female,Asian,40,24-02-2021,"$46,833.00",0%,China,Chengdu,11-10-2021, YES,,,,,,,,,,,
Kennedy Zhang,Director,Finance,Research & Development,Female,Asian,63,27-10-2000,"$1,55,320",17%,China,Chongqing,,NO,,,,,,,,,,,
Eli Han,Sr. Analyst,Accounting,Manufacturing,Male,Asian,40,15-01-2016,"$89,984.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Julia Pham,Engineering Manager,Engineering,Speciality Products,Female,Asian,65,16-03-2006,"$83,756.00",14%,China,Shanghai,,NO,,,,,,,,,,,
Hailey Shin,Director,Human Resources,Corporate,Female,Asian,57,24-10-2016,"$1,76,324",23%,China,Shanghai,,NO,,,,,,,,,,,
Connor Grant,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,27,13-10-2021,"$74,077.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Natalia Owens,Manager,Human Resources,Manufacturing,Female,Caucasian,31,18-01-2021,"$1,04,162",7%,United States,Austin,,NO,,,,,,,,,,,
Maria He,IT Systems Architect,IT,Corporate,Female,Asian,45,28-08-2010,"$82,162.00",0%,China,Beijing,10-03-2020, YES,,,,,,,,,,,
Jade Yi,Account Representative,Sales,Speciality Products,Female,Asian,47,07-10-2015,"$63,880.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Quinn Xiong,Test Engineer,Engineering,Research & Development,Female,Asian,55,09-08-2013,"$73,248.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Dominic Baker,Sr. Analyst,Accounting,Manufacturing,Male,Black,51,10-09-2020,"$91,853.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Adam Nelson,Director,Finance,Speciality Products,Male,Caucasian,25,14-01-2020,"$1,68,014",27%,United States,Chicago,27-07-2021, YES,,,,,,,,,,,
Autumn Reed,Development Engineer,Engineering,Corporate,Female,Caucasian,37,17-09-2017,"$70,770.00",0%,United States,Miami,,NO,,,,,,,,,,,
Robert Edwards,HRIS Analyst,Human Resources,Corporate,Male,Caucasian,62,10-11-2004,"$50,825.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Roman Martinez,Sr. Manger,Finance,Research & Development,Male,Latino,31,19-09-2015,"$1,45,846",15%,Brazil,Manaus,,NO,,,,,,,,,,,
Eleanor Li,Sr. Manger,Human Resources,Research & Development,Female,Asian,64,12-07-2003,"$1,25,807",15%,United States,Chicago,,NO,,,,,,,,,,,
Connor Vang,Analyst,Sales,Speciality Products,Male,Asian,25,28-07-2021,"$46,845.00",0%,United States,Miami,,NO,,,,,,,,,,,
Ellie Chung,Sr. Manger,Marketing,Corporate,Female,Asian,59,29-08-2008,"$1,57,969",10%,China,Chongqing,,NO,,,,,,,,,,,
Violet Hall,Solutions Architect,IT,Corporate,Female,Caucasian,40,12-10-2010,"$97,807.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Dylan Padilla,HRIS Analyst,Human Resources,Manufacturing,Male,Latino,31,12-09-2015,"$73,854.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Nathan Pham,Sr. Manger,Accounting,Manufacturing,Male,Asian,45,12-12-2006,"$1,49,537",14%,United States,Seattle,,NO,,,,,,,,,,,
Ayla Brown,Sr. Manger,Sales,Manufacturing,Female,Caucasian,49,15-04-2013,"$1,28,303",15%,United States,Phoenix,,NO,,,,,,,,,,,
Isaac Mitchell,Network Architect,IT,Speciality Products,Male,Black,46,06-10-2005,"$67,374.00",0%,United States,Austin,,NO,,,,,,,,,,,
Jayden Jimenez,Manager,Human Resources,Corporate,Male,Latino,46,24-09-2011,"$1,02,167",6%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Jaxon Tran,Sr. Manger,Sales,Manufacturing,Male,Asian,45,09-07-2007,"$1,51,027",10%,China,Shanghai,,NO,,,,,,,,,,,
Connor Fong,Manager,Accounting,Speciality Products,Male,Asian,40,16-02-2018,"$1,20,905",5%,United States,Seattle,,NO,,,,,,,,,,,
Emery Mitchell,Vice President,Finance,Manufacturing,Female,Caucasian,48,06-02-2018,"$2,31,567",36%,United States,Seattle,,NO,,,,,,,,,,,
Landon Luu,Vice President,IT,Research & Development,Male,Asian,31,07-12-2015,"$2,15,388",33%,United States,Miami,,NO,,,,,,,,,,,
Sophia Ahmed,Sr. Manger,Sales,Speciality Products,Female,Asian,30,13-06-2015,"$1,27,972",11%,United States,Seattle,,NO,,,,,,,,,,,
Sofia Dinh,Operations Engineer,Engineering,Corporate,Female,Asian,55,08-04-1995,"$80,701.00",0%,United States,Chicago,14-04-2005, YES,,,,,,,,,,,
Jonathan Patel,Manager,Marketing,Corporate,Male,Asian,28,02-02-2020,"$1,15,417",6%,China,Shanghai,,NO,,,,,,,,,,,
Piper Patterson,Quality Engineer,Engineering,Corporate,Female,Caucasian,45,19-06-2019,"$88,045.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Cora Evans,Computer Systems Manager,IT,Speciality Products,Female,Black,45,26-03-2018,"$86,478.00",6%,United States,Austin,,NO,,,,,,,,,,,
Cameron Young,Vice President,Engineering,Manufacturing,Male,Caucasian,63,18-01-2016,"$1,80,994",39%,United States,Seattle,,NO,,,,,,,,,,,
Melody Ho,Analyst II,Finance,Research & Development,Female,Asian,55,12-02-2007,"$64,494.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Aiden Bryant,Account Representative,Sales,Manufacturing,Male,Black,47,21-10-2002,"$70,122.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Grayson Walker,Director,Accounting,Manufacturing,Male,Caucasian,29,19-02-2017,"$1,81,854",29%,United States,Seattle,24-04-2020, YES,,,,,,,,,,,
Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,Female,Latino,34,21-10-2016,"$52,811.00",0%,United States,Miami,,NO,,,,,,,,,,,
Madeline Hoang,Systems Analyst,IT,Research & Development,Female,Asian,28,25-10-2019,"$50,111.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Ezra Simmons,Network Administrator,IT,Manufacturing,Male,Black,31,05-07-2016,"$71,192.00",0%,United States,Austin,,NO,,,,,,,,,,,
Ruby Medina,Director,Sales,Manufacturing,Female,Latino,50,18-12-2018,"$1,55,351",20%,United States,Seattle,,NO,,,,,,,,,,,
Luke Zheng,Director,Human Resources,Speciality Products,Male,Asian,39,28-11-2006,"$1,61,690",29%,China,Beijing,,NO,,,,,,,,,,,
Rylee Dinh,Development Engineer,Engineering,Speciality Products,Female,Asian,35,02-10-2017,"$60,132.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Miles Evans,Network Architect,IT,Manufacturing,Male,Caucasian,54,24-10-1994,"$87,216.00",0%,United States,Miami,,NO,,,,,,,,,,,
Leo Owens,Systems Analyst,IT,Corporate,Male,Caucasian,47,23-04-2020,"$50,069.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Caroline Owens,Director,IT,Speciality Products,Female,Caucasian,26,26-07-2021,"$1,51,108",22%,United States,Phoenix,,NO,,,,,,,,,,,
Kennedy Do,Computer Systems Manager,IT,Manufacturing,Female,Asian,42,15-10-2005,"$67,398.00",7%,United States,Phoenix,,NO,,,,,,,,,,,
Jade Acosta,Development Engineer,Engineering,Research & Development,Female,Latino,47,29-08-2015,"$68,488.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Mila Vasquez,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,16-07-1998,"$92,932.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Allison Ayala,Analyst,Finance,Corporate,Female,Latino,36,30-06-2009,"$43,363.00",0%,United States,Austin,,NO,,,,,,,,,,,
Jace Zhang,Service Desk Analyst,IT,Speciality Products,Male,Asian,31,14-02-2017,"$95,963.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Allison Medina,Manager,Finance,Speciality Products,Female,Latino,55,29-04-2010,"$1,11,038",5%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Maria Wilson,Vice President,Engineering,Research & Development,Female,Caucasian,51,14-06-1996,"$2,00,246",34%,United States,Columbus,,NO,,,,,,,,,,,
Everly Coleman,Vice President,IT,Corporate,Female,Caucasian,48,18-02-2015,"$1,94,871",35%,United States,Columbus,,NO,,,,,,,,,,,
Jordan Gomez,Sr. Analyst,Accounting,Research & Development,Male,Latino,58,15-09-1994,"$98,769.00",0%,Brazil,Rio de Janerio,10-03-2016, YES,,,,,,,,,,,
Isla Chavez,Account Representative,Sales,Research & Development,Female,Latino,29,19-05-2018,"$65,334.00",0%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Hannah Gomez,Technical Architect,IT,Manufacturing,Female,Latino,25,05-11-2021,"$83,934.00",0%,United States,Miami,,NO,,,,,,,,,,,
Jacob Davis,Director,Accounting,Research & Development,Male,Caucasian,36,09-03-2016,"$1,50,399",28%,United States,Chicago,,NO,,,,,,,,,,,
Eli Gupta,Director,Human Resources,Research & Development,Male,Asian,37,19-05-2012,"$1,60,280",19%,China,Beijing,,NO,,,,,,,,,,,
Andrew Huynh,Business Partner,Human Resources,Speciality Products,Male,Asian,57,28-04-1997,"$54,051.00",0%,United States,Miami,10-11-1998, YES,,,,,,,,,,,
Anna Gutierrez,Director,Engineering,Research & Development,Female,Latino,59,15-04-2003,"$1,50,699",29%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Samuel Vega,Analyst II,Marketing,Speciality Products,Male,Latino,37,30-03-2013,"$69,570.00",0%,United States,Miami,,NO,,,,,,,,,,,
Liliana Do,Service Desk Analyst,IT,Manufacturing,Female,Asian,30,29-03-2019,"$86,774.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Isaac Sanders,HRIS Analyst,Human Resources,Manufacturing,Male,Caucasian,49,29-03-2001,"$57,606.00",0%,United States,Miami,,NO,,,,,,,,,,,
Raelynn Gupta,Sr. Manger,Finance,Corporate,Female,Asian,48,09-10-2001,"$1,25,730",11%,China,Chongqing,,NO,,,,,,,,,,,
